Geography,Time,All,Female,Male
Adams,2018,35,34,35
Asotin,2018,10,12,8
Benton,2018,25,27,24
Chelan,2018,32,35,30
Clallam,2018,18,22,16
Clark,2018,23,25,22
Cowlitz,2018,27,28,28
Douglas,2018,33,34,33
Ferry,2018,22,28,19
Franklin,2018,33,34,32
Grant,2018,39,40,39
Grays Harbor,2018,28,28,28
Island,2018,16,19,17
Jefferson,2018,14,16,13
King,2018,33,35,32
Kitsap,2018,26,27,24
Kittitas,2018,24,23,25
Klickitat,2018,9,11,7
Lewis,2018,26,28,24
Lincoln,2018,28,27,26
Mason,2018,27,28,24
Okanogan,2018,25,30,22
Pacific,2018,15,17,13
Pend Oreille,2018,12,14,
Pierce,2018,27,29,26
San Juan,2018,15,19,
Skagit,2018,31,31,31
Skamania,2018,14,23,
Snohomish,2018,29,31,28
Spokane,2018,26,28,24
Statewide,2018,29,31,28
Stevens,2018,15,15,16
Thurston,2018,26,27,25
Wahkiakum,2018,29,,
Walla Walla,2018,32,37,29
Whatcom,2018,26,28,25
Whitman,2018,21,22,21
Yakima,2018,43,44,43